id;texto;categoria_assunto;canal;particao_recomendada
REC-0039;Gente, o pacote está parado no rastreamento há vários dias novamente;entrega;site;treino
REC-0143;Boa tarde, não consigo concluir o pagamento pelo aplicativo até agora Aguardo retorno.;pagamento;aplicativo;treino
REC-0216;Gente, preciso trocar o tamanho do item recebido desde ontem Obrigado.;troca_devolucao;email;validacao
REC-0238;Olá, o código de postagem para troca não funciona desde ontem Isso é urgente.;troca_devolucao;email;treino
REC-0117;o desconto anunciado não foi aplicado no fechamento depois da atualização Conseguem verificar?;pagamento;aplicativo;treino
REC-0176;Boa tarde, recebi respostas diferentes para o mesmo problema depois da atualização Obrigado.;atendimento;chat;treino
REC-0011;Preciso de ajuda: o endereço está correto, porém a transportadora não entregou no fim de semana Isso é urgente.;entrega;site;teste
REC-0129;o desconto anunciado não foi aplicado no fechamento na última tentativa;pagamento;aplicativo;teste
REC-0110;  Gente,  o  aparelho desliga sozinho desde o primeiro uso até agora Conseguem verificar?  ;produto;site;validacao
REC-0234;Gente, preciso trocar o tamanho do item recebido até agora Obrigado.;troca_devolucao;email;treino
REC-0046;Olá, a caixa chegou depois da data prometida há dois dias Isso é urgente.;entrega;email;teste
REC-0181;Por favor, não consigo falar com uma pessoa no suporte desde a compra Isso é urgente.;atendimento;aplicativo;treino
REC-0001;Olá, o produto parece correto, mas chegou muito depois do prazo desde ontem;produto;site;teste
REC-0023;Preciso de ajuda: o endereço está correto, porém a transportadora não entregou desde ontem Obrigado.;entrega;site;treino
REC-0070;Preciso de ajuda: a embalagem estava intacta, mas o produto veio com defeito desde ontem Obrigado.;produto;site;validacao
REC-0097;Preciso de ajuda: a peça veio faltando dentro da embalagem novamente Aguardo retorno.;produto;email;treino
REC-0076;Preciso de ajuda: a embalagem estava intacta, mas o produto veio com defeito pela segunda vez Isso é urgente.;produto;site;treino
REC-0014;;entrega;email;treino
REC-0212;Preciso de ajuda: quero devolver o produto dentro do prazo até agora;troca_devolucao;email;treino
REC-0101;Gente, o produto chegou quebrado e não funciona hoje pela manhã 😕;produto;email;treino
REC-0033;Gente, o produto parece correto, mas chegou muito depois do prazo no fim de semana Aguardo retorno.;entrega;site;treino
REC-0096;Olá, o item recebido é diferente do anunciado na última tentativa Aguardo retorno.;produto;site;treino
REC-0153;o desconto anunciado não foi aplicado no fechamento pela segunda vez Conseguem verificar?;pagamento;aplicativo;treino
REC-0222;Gente, preciso trocar o tamanho do item recebido pela segunda vez Isso é urgente.;troca_devolucao;email;treino
REC-0044;Preciso de ajuda: a entrega foi marcada como concluída, mas não recebi nada no fim de semana Conseguem verificar?;entrega;email;treino
REC-0112;Preciso de ajuda: a embalagem estava intacta, mas o produto veio com defeito hoje pela manhã Isso é urgente.;produto;site;treino
REC-0051;Gente, o pacote está parado no rastreamento há vários dias pela segunda vez Aguardo retorno.;entrega;site;teste
REC-0200;BOA TARDE, RECEBI RESPOSTAS DIFERENTES PARA O MESMO PROBLEMA NOVAMENTE ISSO É URGENTE.;atendimento;chat;treino
REC-0082;Preciso de ajuda: a embalagem estava intacta, mas o produto veio com defeito há dois dias 😕;produto;site;treino
REC-0034;Olá, a caixa chegou depois da data prometida desde ontem 😕;entrega;email;treino
REC-0177;o prazo informado pelo atendente não foi cumprido na última tentativa Conseguem verificar?;atendimento;aplicativo;teste
REC-0132;o pagamento foi aprovado, mas o pedido continua pendente até agora Obrigado.;pagamento;chat;treino
REC-0138;o pedido chegou, porém a cobrança apareceu duas vezes nesta semana Isso é urgente.;pagamento;chat;treino
REC-0105;Olá, a cor e o tamanho não correspondem ao pedido nesta semana Obrigado.;produto;email;validacao
REC-0152;Boa tarde, o boleto foi pago e ainda aparece como vencido novamente Obrigado.;pagamento;chat;treino
REC-0019;Olá, o pedido ainda não chegou e o prazo terminou até agora;entrega;site;treino
REC-0035;  Preciso  de  ajuda: o endereço está correto, porém a transportadora não entregou há dois dias 😕  ;entrega;site;treino
REC-0189;o prazo informado pelo atendente não foi cumprido novamente;atendimento;aplicativo;treino
REC-0220;Olá, o código de postagem para troca não funciona na última tentativa Isso é urgente.;troca_devolucao;email;teste
REC-0074;Gente, o aparelho desliga sozinho desde o primeiro uso na última tentativa Conseguem verificar?;produto;site;teste
REC-0109;Preciso de ajuda: a peça veio faltando dentro da embalagem pela segunda vez Conseguem verificar?;produto;email;teste
REC-0141;o desconto anunciado não foi aplicado no fechamento novamente Aguardo retorno.;pagamento;aplicativo;treino
REC-0146;Boa tarde, o pedido chegou, porém a cobrança apareceu duas vezes no fim de semana 😕;pagamento;chat;treino
REC-0218;Preciso de ajuda: quero devolver o produto dentro do prazo nesta semana Conseguem verificar?;troca_devolucao;email;treino
