id;texto;categoria_assunto;canal;particao_recomendada
REC-00001;Enviei o item de volta e ainda não confirmaram o recbimento há alguns dias?;troca_devolucao;email;treino
REC-00002;preciso de ajuda, estou esperando a encomenda há mais tempo que o informado obrigado;entrega;app;teste
REC-00003;preciso trocar o tamanho recebido. tbm aconteceu o seguinte: faltou um acessório dentro da caixa.!!!;produto;app;treino
REC-00004;a entrega também atrasou. o que mais preciso resolver é que a cor veio diferente da escolhida.;produto;email;validacao
REC-00005;Por favor, alguém consegue me ajudar, o acabamento veio com marcas há alguns dias. Obrigada.;produto;site;validacao
REC-00006;"O material parece danificado; mas também tentei abrir uma troca.";produto;chat;treino
REC-00007;Pessoal, não sei onde acompanhar minha devolução e, além disso, o estorno ainda está pendente. Fico no aguardo.;troca_devolucao;site;validacao
REC-00008;Solicito orientação: o chat não esclareceu a situação, mas o valor foi cobrado duas vezes.;pagamento;chat;treino
REC-00009;Por favor, não sei onde acompanhar minha devolução. Também aconteceu o seguinte: a compra foi cancelada, mas a cobrança permaneceu.;pagamento;telefone;treino
REC-00010;"Não consigo gerar o boleto; além disso, o tamanho não corresponde ao informado.";produto;email;teste
REC-00011;Só queria entender, o valor foi cobrado duas vezes e, além disso, houve problema com a transportadora. Como resolvo?;pagamento;chat;treino
REC-00012;a transportadora não apareceu no endereço e preciso saber o que aconteceu?;entrega;chat;teste
REC-00013;pessoal, o estorno ainda está pendente, mas o atendimento encerrou o contato sem resolver. isso pode ser verificado, por favor? 🙂;atendimento;site;validacao
REC-00014;O item também veio com uma avaria. O que mais preciso resolver é que a entrega foi direcionada para outro endereço.;entrega;email;treino
REC-00015;Gostaria de registrar, o produto veio usado e preciso saber o que aconteceu Agradeço se puderem olhar isso.;produto;email;treino
REC-00016;Olá, o desconto não foi aplicado, mas o acabamento veio com marcas.;produto;chat;treino
REC-00017;Solicito orientação: o entregador marcou tentativa sem vir aqui desde ontem!;entrega;site;teste
REC-00018;alguém consegue me ajudar, não consigo gerar o boleto e preciso saber o que aconteceu? obrigada.;pagamento;telefone;validacao
REC-00019;A entrega foi direcionada para outro endereço há alguns dias.;entrega;chat;treino
REC-00020;estou esperando a encomenda há mais tempo que o informado e o prazo de troca está correndo e não consigo abrir a solicitação.;entrega;chat;treino
REC-00021;Registro a seguinte situação: também apareceu uma cobrança que não entendi, mas o tamanho não corresponde ao informado!;produto;chat;treino
REC-00022;gostaria de registrar, faltou um acessório dentro da caixa e preciso saber o que aconteceu. preciso de um retorno;produto;site;treino
REC-00023;Alguém consegue me ajudar, também tentei abrir uma troca. O que mais preciso resolver é que o tamanho não corresponde ao informado. Como resolvo?;produto;email;validacao
REC-00024;O estorno ainda está pendente, mas faltou um acessório dentro da caixa.;produto;email;treino
REC-00025;Venho informar, o rastreio está confuso. O que mais preciso resolver é que o estorno ainda nao apareceu. Preciso de um retorno.;pagamento;chat;treino
REC-00026;Preciso de ajuda, ninguém responde ao protocolo, mas preciso trocar o tamanho recebido;troca_devolucao;chat;validacao
REC-00027;O pacote voltou para o remetente sem explicação no meu último pedido.;entrega;site;treino
REC-00028;"Alguém consegue me ajudar, o pacote sumiu no trajeto; apesar disso o desconto não foi aplicado. Obrigado.";entrega;app;treino
REC-00029;a transportadora não apareceu no endereço.;entrega;chat;treino
REC-00030;"Olá, o pacote voltou para o remetente sem explicação; ao mesmo tempo também apareceu uma cobrança que não entendi.";entrega;telefone;treino
REC-00031;olá, o pacote sumiu no trajeto e, além disso, estou tentando devolver o item. podem verificar?;entrega;chat;treino
REC-00032;O rastreio parou de atualizar!;entrega;app;treino
REC-00033;Olá, houve problema com a transportadora, mas o sistema diz pagamento pendente, mas já paguei;pagamento;telefone;treino
REC-00034;Venho informar, meu chamado está sem atualização Como resolvo?;atendimento;chat;treino
REC-00035;GENTE, O VALOR COBRADO ESTÁ DIFERENTE DO ANUNCIADO DESDE ONTEM?;pagamento;chat;treino
REC-00036;RECEBI INFORMAÇÕES DIFERENTES DE CADA ATENDENTE E PRECISO SABER O QUE ACONTECEU.;atendimento;chat;teste
REC-00037;gostaria de registrar, o chat me transfere e ninguém assume o caso, mas ao mesmo tempo o pacote voltou para o remetente sem explicação. obrigada.;atendimento;site;treino
REC-00038;já postei a devolução e o status não mudou desde ontem?;troca_devolucao;chat;teste
REC-00039;recebi informações diferentes de cada atendente desde ontem.;atendimento;chat;validacao
REC-00040;"A encomenda está atrasada; porém também tentei abrir uma troca.";entrega;telefone;treino
REC-00041;a coleta da devolução não aconteceu e consta como entregue, mas não recebi.;troca_devolucao;chat;treino
REC-00042;"Oi, o pagamento foi recusado mesmo com limite; além disso, o produto veio usado.";produto;app;treino
REC-00043;A descrição do anúncio não bate com o que chegou. Também aconteceu o seguinte: o estorno ainda não apareceu.;pagamento;app;treino
REC-00044;não sei onde acompanhar minha devolução há alguns dias?;troca_devolucao;email;treino
REC-00045;Não reconheço uma cobrança relacionada ao pedido no meu último pedido. Isso aconteceu desde ontem.;pagamento;chat;validacao
REC-00046;O estorno ainda não apareceu desde ontem, na compra feita pelo site.;pagamento;site;treino
REC-00047;Solicito orientação: o valor cobrado está diferente do anunciado. Também aconteceu o seguinte: consta como entregue, mas não recebi.;entrega;app;teste
REC-00048;O chat não esclareceu a situação, mas o produto veio usado.;produto;site;treino
REC-00049;"Ninguém responde minhas mensagens; entretanto houve problema com a transportadora.";atendimento;email;treino
REC-00050;Não reconheço uma cobrança relacionada ao pedido no meu último pedido?;pagamento;app;treino
REC-00051;estou tentando devolver o item, mas o item chegou com defeito.;produto;site;treino
REC-00052;a encomenda está atrasada no meu último pedido.;entrega;telefone;teste
REC-00053;Olá, gostaria de registrar, ninguém responde ao protocolo. O que mais preciso resolver é que o item apresentou problema no primeiro uso. Agradeço se puderem olhar isso.;produto;chat;treino
REC-00054;o desconto não foi aplicado. o que mais preciso resolver é que estou esperando a encomenda há mais tempo que o informado;entrega;site;treino
REC-00055;Estou com uma dúvida, houve problema com a transportadora. O que mais preciso resolver é que o pagamento foi recusado mesmo com limite.;pagamento;app;validacao
REC-00056;oi, pessoal, ninguém responde minhas mensagens há alguns dias. conseguem me orientar?;atendimento;site;treino
REC-00057;Por favor, fui tratado de forma pouco cordial. Podem verificar?;atendimento;site;validacao
REC-00058;;atendimento;chat;treino
REC-00059;Oi, preciso de ajuda, a solicitação de devolução não avança e preciso saber o que aconteceu Fico no aguardo.;troca_devolucao;telefone;treino
REC-00060;Recebi o modelo errado no meu último pedido. Isso aconteceu depois da atualização do pedido.;produto;chat;treino
